GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66,HD01_VD67,HD01_VD68,HD01_VD69,HD01_VD70,HD01_VD71,HD01_VD72,HD01_VD73,HD01_VD89,HD01_VD90,HD01_VD91,HD01_VD92,HD01_VD93,HD01_VD94,HD01_VD107,HD01_VD108,HD01_VD109
0500000US01001,01001,"Autauga County, Alabama",55221,0,0,0,9975,26,0,0,70,57,0,70,0,479,0,8,0,0,0,0,0,14,38,86,368,0,5050,0,951,82,790,78,4065,0,103,0,9,0,0,5501,0,808,0,0,0,0,0,0,9,163,54,278,24,10,94,8,1592,1269,0,0,0,0,0,662,404,20,0,23,137,0,0,21529,9528
0500000US01003,01003,"Baldwin County, Alabama",195121,0,0,0,44079,275,47,0,50,219,0,67,264,957,90,353,234,0,24,459,0,590,79,283,2242,97,23084,7,1830,364,5265,836,22213,0,197,0,442,9,11,22694,0,5558,27,162,120,0,0,0,135,1576,41,2154,308,208,350,166,3722,5307,8,58,321,22,0,168,1554,425,15,112,824,673,90,51997,31555
0500000US01005,01005,"Barbour County, Alabama",26932,0,0,0,4672,0,0,0,0,17,0,0,14,11,0,0,6,0,9,0,0,0,0,4,115,0,1369,0,203,0,192,14,1008,0,50,0,0,0,0,1628,0,194,0,0,0,0,0,0,0,13,13,75,11,0,22,0,360,295,0,0,6,0,0,56,58,0,0,12,42,4,0,15036,3662
0500000US01007,01007,"Bibb County, Alabama",22604,0,0,0,2866,7,0,0,0,65,0,0,0,15,0,15,0,0,0,11,0,0,49,0,111,0,1469,0,143,0,179,15,1187,0,0,0,0,0,0,2142,7,269,0,0,0,0,0,0,0,36,22,9,0,0,18,0,63,232,0,0,0,0,0,43,0,11,0,0,29,0,0,7031,8595
0500000US01009,01009,"Blount County, Alabama",57710,0,0,0,7913,122,0,0,0,0,0,3,17,174,0,68,17,0,1,5,0,26,3,64,656,0,6490,0,2241,0,917,17,4235,0,6,0,196,0,0,11567,0,815,0,0,0,0,0,0,48,124,3,402,15,0,34,24,696,1279,0,15,31,0,0,266,390,62,2,17,196,4,0,14269,12302
0500000US01011,01011,"Bullock County, Alabama",10678,0,0,0,440,2,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,21,18,229,0,22,0,31,0,117,0,0,0,7,0,0,239,0,21,0,0,0,0,0,0,0,0,0,119,0,0,0,0,67,272,0,0,0,0,0,116,0,0,0,0,7,34,0,7849,1389
0500000US01013,01013,"Butler County, Alabama",20354,0,0,0,2813,0,0,0,0,0,5,0,0,54,0,0,8,0,0,4,0,5,0,3,54,0,1076,0,147,0,85,0,464,0,0,0,0,0,0,1034,0,85,0,0,0,0,0,4,0,0,0,55,0,0,0,0,276,263,5,0,0,0,0,505,13,0,4,0,21,37,0,11134,3723
0500000US01015,01015,"Calhoun County, Alabama",116648,0,0,0,17878,110,24,0,22,104,12,4,0,562,0,22,37,0,0,49,0,24,0,87,1364,0,8674,0,940,104,1397,287,9389,0,192,0,19,0,0,12112,16,1802,30,50,0,0,0,0,119,462,0,550,62,17,166,61,1259,1998,10,0,40,0,0,1375,337,188,0,3,543,369,18,35089,36843
0500000US01017,01017,"Chambers County, Alabama",34079,0,0,0,3677,14,0,0,0,0,0,0,0,65,0,22,0,0,2,0,0,0,0,41,240,0,1871,0,269,0,235,52,1362,0,8,0,0,0,0,2529,0,401,0,0,0,0,0,0,47,23,0,68,7,0,37,0,299,441,0,0,0,0,0,104,50,0,0,0,24,13,0,15711,9142
0500000US01019,01019,"Cherokee County, Alabama",26008,0,0,0,5016,0,0,0,51,3,0,65,0,138,7,0,70,0,0,0,0,32,23,67,455,0,2717,0,237,0,413,8,1521,0,7,0,28,0,0,3060,0,197,0,7,0,0,0,0,41,46,0,32,26,0,7,0,383,285,7,0,0,0,0,17,39,0,0,0,148,0,0,5842,9025
