GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06
0500000US01001,01001,"Autauga County, Alabama",55221,53468,126,766,387,474
0500000US01003,01003,"Baldwin County, Alabama",195121,186668,228,1343,2776,4106
0500000US01005,01005,"Barbour County, Alabama",26932,26063,5,127,236,501
0500000US01007,01007,"Bibb County, Alabama",22604,22306,7,40,61,190
0500000US01009,01009,"Blount County, Alabama",57710,54983,114,220,591,1802
0500000US01011,01011,"Bullock County, Alabama",10678,10094,0,11,186,387
0500000US01013,01013,"Butler County, Alabama",20354,20145,4,61,99,45
0500000US01015,01015,"Calhoun County, Alabama",116648,112224,226,1211,994,1993
0500000US01017,01017,"Chambers County, Alabama",34079,33643,0,75,82,279
0500000US01019,01019,"Cherokee County, Alabama",26008,25679,31,37,199,62
0500000US01021,01021,"Chilton County, Alabama",43819,41290,26,170,554,1779
0500000US01023,01023,"Choctaw County, Alabama",13395,13294,0,80,12,9
0500000US01025,01025,"Clarke County, Alabama",25070,24888,5,51,53,73
0500000US01027,01027,"Clay County, Alabama",13537,13240,0,7,10,280
0500000US01029,01029,"Cleburne County, Alabama",15002,14726,15,30,77,154
0500000US01031,01031,"Coffee County, Alabama",50884,47607,241,878,882,1276
0500000US01033,01033,"Colbert County, Alabama",54444,53191,81,159,296,717
0500000US01035,01035,"Conecuh County, Alabama",12865,12726,0,8,42,89
0500000US01037,01037,"Coosa County, Alabama",11027,10784,0,46,18,179
0500000US01039,01039,"Covington County, Alabama",37886,37297,19,163,273,134
0500000US01041,01041,"Crenshaw County, Alabama",13938,13588,0,22,148,180
0500000US01043,01043,"Cullman County, Alabama",80965,78786,18,165,501,1495
0500000US01045,01045,"Dale County, Alabama",49866,47081,221,948,890,726
0500000US01047,01047,"Dallas County, Alabama",42154,41762,0,60,179,153
0500000US01049,01049,"DeKalb County, Alabama",71068,65284,81,301,1147,4255
0500000US01051,01051,"Elmore County, Alabama",80763,78117,107,839,610,1090
0500000US01053,01053,"Escambia County, Alabama",37935,37590,6,124,113,102
0500000US01055,01055,"Etowah County, Alabama",103766,100567,58,345,903,1893
0500000US01057,01057,"Fayette County, Alabama",16896,16767,0,53,31,45
0500000US01059,01059,"Franklin County, Alabama",31634,28628,11,205,729,2061
0500000US01061,01061,"Geneva County, Alabama",26815,25991,14,80,153,577
0500000US01063,01063,"Greene County, Alabama",8697,8676,0,2,19,0
0500000US01065,01065,"Hale County, Alabama",15256,15064,0,46,110,36
0500000US01067,01067,"Henry County, Alabama",17252,16964,0,38,34,216
0500000US01069,01069,"Houston County, Alabama",103534,100193,121,748,1244,1228
0500000US01071,01071,"Jackson County, Alabama",52860,51502,42,116,545,655
0500000US01073,01073,"Jefferson County, Alabama",659026,628632,563,3367,8449,18015
0500000US01075,01075,"Lamar County, Alabama",14133,13973,0,43,40,77
0500000US01077,01077,"Lauderdale County, Alabama",92737,90484,60,470,816,907
0500000US01079,01079,"Lawrence County, Alabama",33586,33295,26,38,85,142
0500000US01081,01081,"Lee County, Alabama",150982,140871,342,1462,1969,6338
0500000US01083,01083,"Limestone County, Alabama",88805,83970,135,512,2031,2157
0500000US01085,01085,"Lowndes County, Alabama",10742,10632,0,78,16,16
0500000US01087,01087,"Macon County, Alabama",20018,19640,38,74,183,83
0500000US01089,01089,"Madison County, Alabama",346438,320856,1380,5515,9093,9594
0500000US01091,01091,"Marengo County, Alabama",20306,20047,0,35,24,200
0500000US01093,01093,"Marion County, Alabama",30387,29811,10,51,480,35
0500000US01095,01095,"Marshall County, Alabama",94318,86386,65,605,1040,6222
0500000US01097,01097,"Mobile County, Alabama",414251,398654,711,2087,5965,6834
0500000US01099,01099,"Monroe County, Alabama",22217,22136,0,26,55,0
0500000US01101,01101,"Montgomery County, Alabama",228138,215952,218,2136,3224,6608
0500000US01103,01103,"Morgan County, Alabama",119786,113210,98,880,927,4671
0500000US01105,01105,"Perry County, Alabama",10038,9947,0,37,38,16
0500000US01107,01107,"Pickens County, Alabama",19856,19604,4,30,27,191
0500000US01109,01109,"Pike County, Alabama",33155,31834,47,210,175,889
0500000US01111,01111,"Randolph County, Alabama",22648,22189,32,20,160,247
0500000US01113,01113,"Russell County, Alabama",58302,55318,389,1141,829,625
0500000US01115,01115,"St. Clair County, Alabama",85864,83921,73,318,771,781
0500000US01117,01117,"Shelby County, Alabama",203530,190541,271,1403,3786,7529
