GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23
0500000US01001,01001,"Autauga County, Alabama",10315,4840,1443,1443,0,0,0,3397,3374,23,9,14,5475,1389,1389,0,0,0,4086,4062,24,5,19
0500000US01003,01003,"Baldwin County, Alabama",18735,9234,2854,2854,0,0,0,6380,6225,155,0,155,9501,2302,2302,0,0,0,7199,7071,128,64,64
0500000US01005,01005,"Barbour County, Alabama",12595,6649,1448,1448,0,0,0,5201,5196,5,0,5,5946,1490,1490,0,0,0,4456,4456,0,0,0
0500000US01007,01007,"Bibb County, Alabama",4846,2997,571,571,0,0,0,2426,2426,0,0,0,1849,401,401,0,0,0,1448,1448,0,0,0
0500000US01009,01009,"Blount County, Alabama",884,535,178,173,5,0,5,357,352,5,5,0,349,59,59,0,0,0,290,287,3,0,3
0500000US01011,01011,"Bullock County, Alabama",7550,3678,877,877,0,0,0,2801,2801,0,0,0,3872,989,989,0,0,0,2883,2824,59,0,59
0500000US01013,01013,"Butler County, Alabama",8961,4013,1287,1287,0,0,0,2726,2726,0,0,0,4948,1163,1163,0,0,0,3785,3785,0,0,0
0500000US01015,01015,"Calhoun County, Alabama",23895,11045,3033,3033,0,0,0,8012,7884,128,76,52,12850,2987,2987,0,0,0,9863,9767,96,81,15
0500000US01017,01017,"Chambers County, Alabama",13738,6474,1731,1731,0,0,0,4743,4730,13,0,13,7264,1629,1629,0,0,0,5635,5635,0,0,0
0500000US01019,01019,"Cherokee County, Alabama",1281,684,190,190,0,0,0,494,494,0,0,0,597,113,113,0,0,0,484,484,0,0,0
0500000US01021,01021,"Chilton County, Alabama",4528,2115,600,600,0,0,0,1515,1515,0,0,0,2413,681,681,0,0,0,1732,1726,6,6,0
0500000US01023,01023,"Choctaw County, Alabama",5801,2683,627,627,0,0,0,2056,2056,0,0,0,3118,661,661,0,0,0,2457,2457,0,0,0
0500000US01025,01025,"Clarke County, Alabama",11346,5137,1438,1438,0,0,0,3699,3687,12,12,0,6209,1505,1505,0,0,0,4704,4704,0,0,0
0500000US01027,01027,"Clay County, Alabama",1963,972,277,277,0,0,0,695,695,0,0,0,991,183,183,0,0,0,808,808,0,0,0
0500000US01029,01029,"Cleburne County, Alabama",442,178,25,25,0,0,0,153,153,0,0,0,264,52,52,0,0,0,212,212,0,0,0
0500000US01031,01031,"Coffee County, Alabama",8829,4292,1139,1139,0,0,0,3153,2998,155,28,127,4537,1164,1164,0,0,0,3373,3366,7,7,0
0500000US01033,01033,"Colbert County, Alabama",8478,3954,978,978,0,0,0,2976,2976,0,0,0,4524,835,835,0,0,0,3689,3689,0,0,0
