GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Male:
HD01_VD03,Estimate; Male: - Under 18 years:
HD01_VD04,Estimate; Male: - Under 18 years: - Native
HD01_VD05,Estimate; Male: - Under 18 years: - Foreign born:
HD01_VD06,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen
HD01_VD07,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen
HD01_VD08,Estimate; Male: - 18 years and over:
HD01_VD09,Estimate; Male: - 18 years and over: - Native
HD01_VD10,Estimate; Male: - 18 years and over: - Foreign born:
HD01_VD11,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen
HD01_VD12,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen
HD01_VD13,Estimate; Female:
HD01_VD14,Estimate; Female: - Under 18 years:
HD01_VD15,Estimate; Female: - Under 18 years: - Native
HD01_VD16,Estimate; Female: - Under 18 years: - Foreign born:
HD01_VD17,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen
HD01_VD18,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen
HD01_VD19,Estimate; Female: - 18 years and over:
HD01_VD20,Estimate; Female: - 18 years and over: - Native
HD01_VD21,Estimate; Female: - 18 years and over: - Foreign born:
HD01_VD22,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen
HD01_VD23,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
