GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23
0500000US01001,01001,"Autauga County, Alabama",41848,20528,5082,5032,50,28,22,15446,15414,32,0,32,21320,4969,4969,0,0,0,16351,16169,182,109,73
0500000US01003,01003,"Baldwin County, Alabama",162153,78918,16965,16920,45,45,0,61953,60963,990,483,507,83235,16384,16373,11,11,0,66851,65904,947,570,377
0500000US01005,01005,"Barbour County, Alabama",12454,6636,1018,1007,11,11,0,5618,5618,0,0,0,5818,1022,1022,0,0,0,4796,4760,36,32,4
0500000US01007,01007,"Bibb County, Alabama",16840,8532,1824,1824,0,0,0,6708,6668,40,40,0,8308,1792,1788,4,4,0,6516,6508,8,0,8
0500000US01009,01009,"Blount County, Alabama",50700,24807,5631,5631,0,0,0,19176,19054,122,59,63,25893,5451,5451,0,0,0,20442,20330,112,41,71
0500000US01011,01011,"Bullock County, Alabama",2372,1400,189,189,0,0,0,1211,1211,0,0,0,972,128,128,0,0,0,844,818,26,26,0
0500000US01013,01013,"Butler County, Alabama",10856,5184,1106,1106,0,0,0,4078,4073,5,5,0,5672,1010,1010,0,0,0,4662,4662,0,0,0
0500000US01015,01015,"Calhoun County, Alabama",85184,41358,8852,8852,0,0,0,32506,32371,135,99,36,43826,8222,8222,0,0,0,35604,35091,513,154,359
0500000US01017,01017,"Chambers County, Alabama",19522,9450,1862,1862,0,0,0,7588,7572,16,0,16,10072,1789,1789,0,0,0,8283,8220,63,5,58
0500000US01019,01019,"Cherokee County, Alabama",23854,11830,2410,2410,0,0,0,9420,9346,74,67,7,12024,2300,2300,0,0,0,9724,9646,78,70,8
0500000US01021,01021,"Chilton County, Alabama",35289,17158,3872,3857,15,15,0,13286,13230,56,52,4,18131,3876,3876,0,0,0,14255,14101,154,95,59
0500000US01023,01023,"Choctaw County, Alabama",7487,3663,801,791,10,10,0,2862,2862,0,0,0,3824,696,696,0,0,0,3128,3121,7,2,5
0500000US01025,01025,"Clarke County, Alabama",13376,6477,1316,1316,0,0,0,5161,5159,2,2,0,6899,1368,1368,0,0,0,5531,5505,26,10,16
0500000US01027,01027,"Clay County, Alabama",10821,5303,1145,1145,0,0,0,4158,4153,5,0,5,5518,1016,1016,0,0,0,4502,4478,24,10,14
0500000US01029,01029,"Cleburne County, Alabama",13877,6851,1586,1586,0,0,0,5265,5264,1,1,0,7026,1487,1487,0,0,0,5539,5513,26,26,0
0500000US01031,01031,"Coffee County, Alabama",36392,18062,4033,3987,46,0,46,14029,13901,128,40,88,18330,3782,3766,16,0,16,14548,14191,357,210,147
0500000US01033,01033,"Colbert County, Alabama",42957,20700,4438,4438,0,0,0,16262,16219,43,14,29,22257,4247,4247,0,0,0,18010,17882,128,78,50
0500000US01035,01035,"Conecuh County, Alabama",6557,3259,556,556,0,0,0,2703,2691,12,12,0,3298,575,575,0,0,0,2723,2687,36,8,28
0500000US01037,01037,"Coosa County, Alabama",7190,3560,575,575,0,0,0,2985,2985,0,0,0,3630,682,682,0,0,0,2948,2942,6,6,0
0500000US01039,01039,"Covington County, Alabama",31577,15304,3350,3341,9,9,0,11954,11942,12,11,1,16273,3132,3126,6,6,0,13141,13044,97,72,25
0500000US01041,01041,"Crenshaw County, Alabama",9825,4813,1076,1076,0,0,0,3737,3736,1,0,1,5012,1000,1000,0,0,0,4012,4010,2,0,2
0500000US01043,01043,"Cullman County, Alabama",74635,36690,8202,8202,0,0,0,28488,28382,106,21,85,37945,7780,7780,0,0,0,30165,30064,101,61,40
0500000US01045,01045,"Dale County, Alabama",34829,17475,3691,3691,0,0,0,13784,13707,77,57,20,17354,3583,3579,4,0,4,13771,13503,268,172,96
0500000US01047,01047,"Dallas County, Alabama",12045,5796,1102,1102,0,0,0,4694,4649,45,29,16,6249,1057,1057,0,0,0,5192,5104,88,42,46
0500000US01049,01049,"DeKalb County, Alabama",57485,28148,6280,6280,0,0,0,21868,21803,65,25,40,29337,5878,5834,44,17,27,23459,23357,102,96,6
0500000US01051,01051,"Elmore County, Alabama",59479,28724,6603,6580,23,23,0,22121,21959,162,88,74,30755,6258,6258,0,0,0,24497,24225,272,196,76
0500000US01053,01053,"Escambia County, Alabama",23023,11517,2320,2320,0,0,0,9197,9178,19,6,13,11506,2307,2307,0,0,0,9199,9177,22,22,0
0500000US01055,01055,"Etowah County, Alabama",81479,39456,8506,8471,35,35,0,30950,30839,111,36,75,42023,8045,8034,11,11,0,33978,33835,143,110,33
0500000US01057,01057,"Fayette County, Alabama",14413,7144,1603,1603,0,0,0,5541,5530,11,0,11,7269,1409,1409,0,0,0,5860,5848,12,0,12
0500000US01059,01059,"Franklin County, Alabama",24833,12038,2659,2659,0,0,0,9379,9317,62,19,43,12795,2574,2574,0,0,0,10221,10188,33,13,20
0500000US01061,01061,"Geneva County, Alabama",22534,11058,2431,2431,0,0,0,8627,8579,48,39,9,11476,2224,2224,0,0,0,9252,9189,63,47,16
0500000US01063,01063,"Greene County, Alabama",1547,771,131,131,0,0,0,640,640,0,0,0,776,119,119,0,0,0,657,655,2,2,0
0500000US01065,01065,"Hale County, Alabama",6095,2978,597,597,0,0,0,2381,2381,0,0,0,3117,623,623,0,0,0,2494,2481,13,7,6
0500000US01067,01067,"Henry County, Alabama",11788,5758,1247,1247,0,0,0,4511,4497,14,7,7,6030,1108,1108,0,0,0,4922,4884,38,5,33
0500000US01069,01069,"Houston County, Alabama",70069,33923,7501,7460,41,8,33,26422,26180,242,143,99,36146,6987,6975,12,6,6,29159,28888,271,192,79
0500000US01071,01071,"Jackson County, Alabama",47279,23211,5127,5084,43,0,43,18084,18020,64,40,24,24068,4729,4726,3,0,3,19339,19184,155,86,69
0500000US01073,01073,"Jefferson County, Alabama",336064,161923,33126,32958,168,126,42,128797,127194,1603,808,795,174141,31494,31364,130,85,45,142647,140974,1673,903,770
0500000US01075,01075,"Lamar County, Alabama",12154,5967,1324,1312,12,0,12,4643,4623,20,8,12,6187,1234,1223,11,0,11,4953,4935,18,0,18
0500000US01077,01077,"Lauderdale County, Alabama",78773,37778,7764,7764,0,0,0,30014,29905,109,80,29,40995,7511,7511,0,0,0,33484,33344,140,57,83
0500000US01079,01079,"Lawrence County, Alabama",25703,12547,2650,2650,0,0,0,9897,9892,5,0,5,13156,2633,2633,0,0,0,10523,10474,49,22,27
0500000US01081,01081,"Lee County, Alabama",102965,51406,10333,10317,16,10,6,41073,40135,938,187,751,51559,9682,9619,63,0,63,41877,40970,907,441,466
0500000US01083,01083,"Limestone County, Alabama",68756,34273,7614,7586,28,15,13,26659,26518,141,102,39,34483,7300,7286,14,0,14,27183,26834,349,218,131
0500000US01085,01085,"Lowndes County, Alabama",2716,1393,309,309,0,0,0,1084,1081,3,3,0,1323,220,220,0,0,0,1103,1103,0,0,0
0500000US01087,01087,"Macon County, Alabama",3220,1569,251,251,0,0,0,1318,1307,11,11,0,1651,349,349,0,0,0,1302,1302,0,0,0
0500000US01089,01089,"Madison County, Alabama",227290,112641,23599,23501,98,65,33,89042,87494,1548,1070,478,114649,22682,22646,36,11,25,91967,89745,2222,1548,674
0500000US01091,01091,"Marengo County, Alabama",9293,4497,970,970,0,0,0,3527,3512,15,15,0,4796,953,953,0,0,0,3843,3843,0,0,0
0500000US01093,01093,"Marion County, Alabama",27898,13684,3009,2942,67,67,0,10675,10651,24,24,0,14214,2700,2700,0,0,0,11514,11508,6,6,0
