GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
0500000US01001,01001,"Autauga County, Alabama",36319,581,0,0,0,0,93,17,12,256,107,328,696,858,1067,641,9860,2322,2626,5577,2841,4897,2876,485,179
0500000US01003,01003,"Baldwin County, Alabama",137001,882,15,25,55,36,96,176,230,687,537,1646,2203,2936,2901,1935,32245,7186,8458,22622,12420,26388,9344,2567,1411
0500000US01005,01005,"Barbour County, Alabama",18808,356,4,26,5,46,87,51,71,226,245,615,681,1071,1104,433,4927,1563,1111,2482,1350,1412,745,131,66
0500000US01007,01007,"Bibb County, Alabama",15629,285,0,0,0,36,19,7,22,104,253,360,593,609,485,251,5332,1242,583,2830,954,946,617,46,55
0500000US01009,01009,"Blount County, Alabama",39408,520,0,6,1,60,88,52,176,443,374,1025,1291,2096,1435,905,10818,2361,3117,5710,3850,3396,1353,205,126
0500000US01011,01011,"Bullock County, Alabama",7438,374,0,0,4,12,59,32,15,78,113,195,251,471,520,490,2169,309,132,951,232,484,379,135,33
0500000US01013,01013,"Butler County, Alabama",13996,249,0,0,0,7,39,35,35,183,169,347,443,481,704,410,4615,659,620,1811,1157,1173,631,131,97
0500000US01015,01015,"Calhoun County, Alabama",78700,1030,16,12,2,87,221,167,127,616,913,1385,2153,3082,3448,1762,20133,4929,5894,13371,5534,8437,3945,787,649
0500000US01017,01017,"Chambers County, Alabama",23814,367,0,7,8,0,94,70,66,187,251,437,871,1080,884,697,7299,1841,1518,3533,1845,1800,705,183,71
0500000US01019,01019,"Cherokee County, Alabama",18734,320,0,0,10,0,12,18,202,236,192,461,507,832,653,397,5711,1117,1181,2955,1352,1480,730,257,111
0500000US01021,01021,"Chilton County, Alabama",29472,431,0,0,41,58,153,61,87,190,346,1024,1050,955,1210,758,9897,1665,1571,3658,2166,2673,1166,183,129
0500000US01023,01023,"Choctaw County, Alabama",9534,168,0,10,0,26,55,13,85,39,112,269,210,319,643,301,3086,426,630,1307,709,701,335,80,10
0500000US01025,01025,"Clarke County, Alabama",17128,242,0,5,0,0,24,61,44,143,192,102,361,576,1009,580,6529,986,788,2066,1203,1440,534,154,89
0500000US01027,01027,"Clay County, Alabama",9535,165,0,0,0,0,10,0,14,201,222,397,363,531,299,175,3007,453,569,1435,780,552,265,39,58
0500000US01029,01029,"Cleburne County, Alabama",10420,101,0,0,0,0,5,23,43,249,39,220,508,639,542,221,3210,778,792,1313,480,721,335,151,50
0500000US01031,01031,"Coffee County, Alabama",34464,527,0,0,0,9,50,45,79,277,467,447,911,1016,793,670,8049,2102,2419,5123,3257,5250,2279,467,227
0500000US01033,01033,"Colbert County, Alabama",38008,433,0,0,19,19,70,8,58,158,299,663,952,1402,1319,736,10323,2808,2665,6179,2834,4299,1980,451,333
0500000US01035,01035,"Conecuh County, Alabama",8905,160,0,0,0,0,34,4,70,83,71,236,263,332,416,282,3450,512,518,1114,628,400,270,52,10
0500000US01037,01037,"Coosa County, Alabama",8022,155,0,2,0,0,17,66,24,134,181,143,340,381,537,100,2572,445,364,1361,521,408,219,25,27
0500000US01039,01039,"Covington County, Alabama",26470,317,0,0,13,25,29,47,166,267,505,605,896,1021,1030,422,7031,1859,1920,3981,2544,2550,890,293,59
0500000US01041,01041,"Crenshaw County, Alabama",9548,222,0,0,19,7,19,30,15,182,206,192,248,389,342,234,3052,577,541,1204,705,955,352,29,28
0500000US01043,01043,"Cullman County, Alabama",55773,704,0,39,0,38,45,117,115,464,630,1408,2046,1985,1504,1030,15737,3594,3566,8681,5947,5092,2117,713,201
0500000US01045,01045,"Dale County, Alabama",33245,430,0,0,0,2,35,26,98,257,300,465,560,912,1203,570,8409,2295,2349,6329,3568,3599,1481,251,106
0500000US01047,01047,"Dallas County, Alabama",27453,593,0,10,0,0,75,47,87,299,168,433,686,1501,1445,671,8250,1260,1689,4171,2220,2240,1192,284,132
0500000US01049,01049,"DeKalb County, Alabama",47227,1436,0,3,155,54,216,251,217,1079,784,1506,1995,2326,1981,1022,13509,3124,2447,5627,4215,2969,1729,396,186
0500000US01051,01051,"Elmore County, Alabama",54452,387,0,10,20,7,10,31,128,239,441,782,965,1580,1535,1153,14663,4635,3128,8181,4893,7314,3604,516,230
0500000US01053,01053,"Escambia County, Alabama",26007,309,0,0,0,45,70,58,57,132,350,717,767,1184,1078,473,8544,2398,1406,3448,1710,2178,793,214,76
0500000US01055,01055,"Etowah County, Alabama",71591,1330,0,13,18,74,165,107,268,730,560,1275,1664,2892,2202,1256,18462,4407,4867,13703,6113,7210,3026,845,404
0500000US01057,01057,"Fayette County, Alabama",11880,257,0,10,0,10,42,9,38,58,219,342,300,566,489,321,3655,959,751,1411,766,998,595,23,61
0500000US01059,01059,"Franklin County, Alabama",21075,612,0,0,60,7,165,154,77,480,208,579,595,1055,890,473,6517,1378,1207,2804,1409,1562,670,136,37
0500000US01061,01061,"Geneva County, Alabama",18762,259,7,0,0,11,92,164,50,231,250,515,624,885,599,244,5314,1646,1519,2640,1395,1747,498,65,7
0500000US01063,01063,"Greene County, Alabama",5923,52,0,0,0,13,2,44,50,73,74,154,267,189,359,152,2088,216,344,841,357,460,132,51,5
0500000US01065,01065,"Hale County, Alabama",10271,150,0,0,4,9,12,43,39,57,159,173,306,310,508,216,3641,765,493,1355,606,1018,263,118,26
0500000US01067,01067,"Henry County, Alabama",12213,212,0,7,6,16,20,73,105,111,71,248,401,566,571,178,3524,814,703,1644,925,1151,707,130,30
0500000US01069,01069,"Houston County, Alabama",70274,1064,8,8,26,44,131,120,222,357,587,904,1517,2043,2322,1429,19172,4076,4717,11065,5993,9343,3620,980,526
0500000US01071,01071,"Jackson County, Alabama",37190,629,0,2,8,29,94,91,156,445,517,1028,1174,2075,1623,737,11772,3047,1658,4489,2988,2876,1373,232,147
0500000US01073,01073,"Jefferson County, Alabama",444969,3583,10,56,69,112,423,447,633,2915,1811,4277,6353,10272,13304,7173,100198,17529,23907,80624,34251,82971,33489,13340,7222
0500000US01075,01075,"Lamar County, Alabama",10017,196,0,0,0,0,1,18,98,95,138,334,353,502,368,164,3013,702,754,1462,667,686,379,54,33
0500000US01077,01077,"Lauderdale County, Alabama",62870,686,5,21,40,17,75,12,60,313,545,1364,1668,1882,2240,943,17555,3861,4267,9903,3703,8049,4150,763,748
0500000US01079,01079,"Lawrence County, Alabama",23292,339,0,7,44,0,20,50,103,262,324,599,645,1259,703,564,7721,1743,1338,3351,1630,1803,671,90,26
0500000US01081,01081,"Lee County, Alabama",87947,888,0,0,0,86,180,155,183,442,458,831,1623,1733,2342,1127,18163,4226,5575,13414,6596,17110,8243,1679,2893
0500000US01083,01083,"Limestone County, Alabama",61004,788,17,7,32,23,190,82,257,595,680,1259,1659,1985,1862,878,14967,4586,3972,8853,4134,9303,4030,441,404
0500000US01085,01085,"Lowndes County, Alabama",7205,61,0,7,0,5,26,31,143,40,83,116,198,402,389,362,2249,291,266,1038,479,735,203,70,11
0500000US01087,01087,"Macon County, Alabama",12382,220,6,2,7,0,38,50,17,67,144,219,202,356,477,494,3260,565,607,2488,769,1352,716,208,118
0500000US01089,01089,"Madison County, Alabama",233276,1836,43,1,32,125,463,191,271,804,728,1906,3609,4480,4396,2794,40022,9730,12183,38423,19403,57690,26677,3695,3774
