GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Total: - No schooling completed
HD01_VD03,Estimate; Total: - Nursery school
HD01_VD04,Estimate; Total: - Kindergarten
HD01_VD05,Estimate; Total: - 1st grade
HD01_VD06,Estimate; Total: - 2nd grade
HD01_VD07,Estimate; Total: - 3rd grade
HD01_VD08,Estimate; Total: - 4th grade
HD01_VD09,Estimate; Total: - 5th grade
HD01_VD10,Estimate; Total: - 6th grade
HD01_VD11,Estimate; Total: - 7th grade
HD01_VD12,Estimate; Total: - 8th grade
HD01_VD13,Estimate; Total: - 9th grade
HD01_VD14,Estimate; Total: - 10th grade
HD01_VD15,Estimate; Total: - 11th grade
HD01_VD16,"Estimate; Total: - 12th grade, no diploma"
HD01_VD17,Estimate; Total: - Regular high school diploma
HD01_VD18,Estimate; Total: - GED or alternative credential
HD01_VD19,"Estimate; Total: - Some college, less than 1 year"
HD01_VD20,"Estimate; Total: - Some college, 1 or more years, no degree"
HD01_VD21,Estimate; Total: - Associate's degree
HD01_VD22,Estimate; Total: - Bachelor's degree
HD01_VD23,Estimate; Total: - Master's degree
HD01_VD24,Estimate; Total: - Professional school degree
HD01_VD25,Estimate; Total: - Doctorate degree
